run_id,map,effective_map,demand,demand_vehicles,demand_start_time,demand_end_time,population_set,pop_seed,scenario,controller,flags,driver_profile,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_time_loss_s,mean_speed_mps,mean_co2_g,mean_fuel_g,planned_trips,completed_trips,unfinished_trips,censoring_rate,mp_switch_margin_count,mp_switch_max_green_count,mp_nmin_hold_step_count,mp_spillback_block_event_count,mp_spillback_release_event_count,mp_spillback_block_step_count,mp_platoon_extend_step_count,mp_fairness_positive_bonus_count,mp_fairness_bonus_sum
bologna__balanced__low__seed1__mp_switch_rel010,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_switch_rel010,mp,--switch-epsilon-rel 0.10,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,297.759,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_switch_rel010/vehicle_metrics.csv,1496,431.835561,1705.5,696.581551,2163.5,524.290989,8.75163,-3380013.927203,-3381357.95507,1500,1496,4,0.266667,3650.0,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_base,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_base,mp,,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,273.728,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_base/vehicle_metrics.csv,1500,672.088,2099.0,1032.998667,2591.75,827.46218,7.214164,-2511384.526244,-2513146.122376,1500,1500,0,0.0,3663.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_nmin_a120_f4,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_nmin_a120_f4,mp,--nmin-dynamic --lost-time-sat-flow 0.50 --nmin-alpha 1.20 --nmin-floor 4 --nmin-min-green 4.0 --nmin-demand-gain 0.40 --nmin-empty-release-seconds 1.5,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,272.043,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_nmin_a120_f4/vehicle_metrics.csv,1500,662.572,2340.85,1029.442,2964.85,823.479953,7.489175,-2939440.781405,-2941208.347086,1500,1500,0,0.0,3949.0,1113.0,6425.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_lta_g060_sf050,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_lta_g060_sf050,mp,--lost-time-aware --lost-time-sat-flow 0.50 --lost-time-gain 0.60,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,280.626,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_lta_g060_sf050/vehicle_metrics.csv,1500,588.067333,1904.05,945.662667,2353.8,740.52122,7.117374,-2018301.673768,-2019980.37413,1500,1500,0,0.0,1772.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_nmin_a080_f2,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_nmin_a080_f2,mp,--nmin-dynamic --lost-time-sat-flow 0.50 --nmin-alpha 0.80 --nmin-floor 2 --nmin-min-green 4.0 --nmin-demand-gain 0.25 --nmin-empty-release-seconds 1.0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,289.398,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_nmin_a080_f2/vehicle_metrics.csv,1500,713.599333,2403.0,1078.851333,2896.3,873.44986,7.13245,-2345957.71139,-2347767.009292,1500,1500,0,0.0,4046.0,1109.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_lta_g040_sf050,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_lta_g040_sf050,mp,--lost-time-aware --lost-time-sat-flow 0.50 --lost-time-gain 0.40,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,310.714,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_lta_g040_sf050/vehicle_metrics.csv,1500,663.693333,2058.75,1030.761333,2689.15,825.330487,7.13346,-2348884.256276,-2350650.811558,1500,1500,0,0.0,2712.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__fixed_program0,bologna,bologna,low,1500,0.0,3600.0,skewed,1,fixed_program0,fixed,--fixed-program-id 0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,52.711,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__fixed_program0/vehicle_metrics.csv,1500,404.602,1518.3,781.496,2271.15,578.02844,7.237042,-8397.100702,-9981.101711,1500,1500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__fixed_tuned,bologna,bologna,low,1500,0.0,3600.0,skewed,1,fixed_tuned,fixed,--fixed-program-id 0 --fixed-main-green-seconds 30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,57.916,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__fixed_tuned/vehicle_metrics.csv,1500,485.292667,1641.55,872.76,2461.3,669.295607,6.362666,-8249.27744,-9933.307456,1500,1500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_fair_mu5_w20,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_fair_mu5_w20,mp,--fairness --fairness-mu 5.0 --fairness-w-half 20.0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,273.267,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_fair_mu5_w20/vehicle_metrics.csv,1500,628.776667,1970.25,985.519333,2521.6,780.47392,7.366913,-1928762.412403,-1930482.216393,1500,1500,0,0.0,4121.0,1119.0,0.0,0.0,0.0,0.0,0.0,12740.0,32532.673059
bologna__skewed__low__seed1__mp_downstream_b04,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_downstream_b04,mp,--downstream-penalty --downstream-beta 0.4 --downstream-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,406.418,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_downstream_b04/vehicle_metrics.csv,1213,773.787304,3077.4,1144.1723,3851.0,945.03136,6.455379,-8779986.751182,-8781963.362884,1500,1213,287,19.133333,18663.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_fair_mu3_w30,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_fair_mu3_w30,mp,--fairness --fairness-mu 3.0 --fairness-w-half 30.0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,306.276,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_fair_mu3_w30/vehicle_metrics.csv,1500,696.628,2377.6,1067.380667,3006.15,862.063607,7.375244,-2202073.069376,-2203884.625461,1500,1500,0,0.0,3895.0,1083.0,0.0,0.0,0.0,0.0,0.0,14715.0,21629.868192
bologna__skewed__low__seed1__mp_downstream_b08,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_downstream_b08,mp,--downstream-penalty --downstream-beta 0.8 --downstream-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,411.144,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_downstream_b08/vehicle_metrics.csv,1191,871.151973,3275.5,1243.08984,3957.5,1044.435088,6.051174,-8512915.160365,-8515008.253333,1500,1191,309,20.6,18968.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
