map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
bologna,balanced,medium,mp_downstream_b08,1,1105.40818,0.0,3809.15,1451.356055,0.0,4493.8,1275.523536,5.348551,2494.0,3000.0,2494.0,506.0,16.8667,21799.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_fair_mu3_w30,1,698.27737,0.0,2788.5,1022.285714,0.0,3380.25,844.845491,7.007437,2996.0,3000.0,2996.0,4.0,0.1333,6483.0,1195.0,0.0,0.0,0.0,0.0,0.0,28578.0,44263.88695
bologna,balanced,medium,mp_fair_mu5_w20,1,686.449848,0.0,2569.0,1003.387707,0.0,3159.0,825.147423,7.175453,2961.0,3000.0,2961.0,39.0,1.3,6475.0,1194.0,0.0,0.0,0.0,0.0,0.0,25736.0,75018.600936
bologna,balanced,medium,mp_lta_g040_sf050,1,616.112666,0.0,2490.8,923.903039,0.0,3035.2,745.489601,7.471673,2929.0,3000.0,2929.0,71.0,2.3667,4416.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_lta_g060_sf050,1,615.200205,0.0,2823.9,921.063779,0.0,3381.65,742.919345,7.295691,2932.0,3000.0,2932.0,68.0,2.2667,3228.0,2310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_nmin_a080_f2,1,719.55284,0.0,2846.0,1042.769019,0.0,3497.4,863.808475,7.167482,2905.0,3000.0,2905.0,95.0,3.1667,6656.0,1209.0,2449.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_nmin_a120_f4,1,738.870332,0.0,3109.8,1055.528008,0.0,3750.5,876.709948,7.313384,2892.0,3000.0,2892.0,108.0,3.6,6603.0,1246.0,11490.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_platoon_x2,1,689.903039,0.0,2636.6,1004.144418,0.0,3264.0,826.937426,7.29695,2929.0,3000.0,2929.0,71.0,2.3667,5881.0,1204.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0
bologna,balanced,medium,mp_platoon_x4,1,679.187906,0.0,2708.1,997.394602,0.0,3331.7,820.49714,7.223072,2927.0,3000.0,2927.0,73.0,2.4333,5785.0,1233.0,0.0,0.0,0.0,0.0,679.0,0.0,0.0
bologna,balanced,medium,mp_program0,1,435.511853,0.0,1942.8,753.904841,0.0,2447.0,578.631519,6.938137,2995.0,3000.0,2995.0,5.0,0.1667,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_spillback_on85_off70,1,659.846546,0.0,2596.1,971.742429,0.0,3175.1,792.987125,7.346559,2939.0,3000.0,2939.0,61.0,2.0333,5765.0,1191.0,0.0,82.0,82.0,6839.0,0.0,0.0,0.0
bologna,balanced,medium,mp_spillback_on90_off80,1,622.60485,0.0,2334.85,934.027322,0.0,2951.85,756.279095,7.449943,2928.0,3000.0,2928.0,72.0,2.4,5621.0,1167.0,0.0,65.0,65.0,6058.0,0.0,0.0,0.0
bologna,balanced,medium,mp_super,1,462.677667,0.0,2289.35,782.583333,0.0,2802.15,605.915527,6.927048,3000.0,3000.0,3000.0,0.0,0.0,557.0,0.0,0.0,3.0,1.0,30.0,0.0,2031.0,4682.151983
bologna,balanced,medium,mp_switch_eps1,1,694.453644,0.0,2844.6,1007.016079,0.0,3461.0,829.22209,7.184705,2923.0,3000.0,2923.0,77.0,2.5667,4319.0,1717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_switch_rel005,1,639.174777,0.0,2552.75,948.566827,0.0,3134.95,770.53816,7.42899,2918.0,3000.0,2918.0,82.0,2.7333,5755.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_switch_rel010,1,689.618219,0.0,2848.0,1006.199249,0.0,3465.0,828.914493,7.493198,2931.0,3000.0,2931.0,69.0,2.3,5808.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,fixed_program0,1,1355.563006,0.0,3633.2,1939.488125,0.0,4670.0,1732.034652,3.941007,3579.0,5000.0,3579.0,1421.0,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,fixed_tuned,1,1435.625702,0.0,3823.75,1960.38116,0.0,4747.25,1761.040197,3.54237,3206.0,5000.0,3206.0,1794.0,35.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_base,1,1184.748489,0.0,3879.3,1626.461103,0.0,4599.2,1423.864909,4.94003,2648.0,5000.0,2648.0,2352.0,47.04,6646.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_downstream_b04,1,1484.786325,0.0,4113.35,1908.73344,0.0,4815.7,1711.441827,4.105465,1872.0,5000.0,1872.0,3128.0,62.56,18249.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_downstream_b08,1,1468.844765,0.0,4003.5,1914.019598,0.0,4710.3,1710.086529,3.908051,1939.0,5000.0,1939.0,3061.0,61.22,18451.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_fair_mu3_w30,1,1251.640701,0.0,3678.6,1710.877749,0.0,4409.8,1510.420637,4.670216,2683.0,5000.0,2683.0,2317.0,46.34,8251.0,1031.0,0.0,0.0,0.0,0.0,0.0,145439.0,319243.615243
bologna,peak,high,mp_fair_mu5_w20,1,1239.252593,0.0,3803.05,1706.022222,0.0,4476.0,1507.357889,4.594311,2700.0,5000.0,2700.0,2300.0,46.0,8904.0,1014.0,0.0,0.0,0.0,0.0,0.0,130629.0,503502.929991
bologna,peak,high,mp_lta_g040_sf050,1,1351.085294,0.0,4016.2,1805.595956,0.0,4723.05,1600.426993,4.761374,2720.0,5000.0,2720.0,2280.0,45.6,5470.0,1627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_lta_g060_sf050,1,1404.105792,0.0,3916.1,1843.710425,0.0,4604.35,1637.539459,4.720042,2590.0,5000.0,2590.0,2410.0,48.2,4209.0,2131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_nmin_a080_f2,1,1142.853204,0.0,3512.0,1612.852039,0.0,4339.1,1409.576113,4.782292,2575.0,5000.0,2575.0,2425.0,48.5,8755.0,1132.0,10795.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_nmin_a120_f4,1,1026.651888,0.0,3639.25,1439.582923,0.0,4334.5,1239.014023,5.39983,2436.0,5000.0,2436.0,2564.0,51.28,7663.0,1018.0,21518.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_platoon_x2,1,1164.337959,0.0,3804.75,1600.794824,0.0,4582.0,1401.08497,5.081751,2666.0,5000.0,2666.0,2334.0,46.68,7017.0,1073.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0
bologna,peak,high,mp_platoon_x4,1,1211.996918,0.0,3867.75,1654.92527,0.0,4620.5,1452.460636,5.002259,2596.0,5000.0,2596.0,2404.0,48.08,6675.0,1056.0,0.0,0.0,0.0,0.0,842.0,0.0,0.0
bologna,peak,high,mp_program0,1,1432.3618,0.0,3479.0,2081.826898,0.0,4801.0,1880.673168,3.663556,3911.0,5000.0,3911.0,1089.0,21.78,2770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_spillback_on85_off70,1,1257.575516,0.0,3814.0,1712.068091,0.0,4558.0,1510.877606,4.72224,2761.0,5000.0,2761.0,2239.0,44.78,6661.0,1084.0,0.0,875.0,853.0,98645.0,0.0,0.0,0.0
bologna,peak,high,mp_spillback_on90_off80,1,1245.048411,0.0,3833.7,1689.42587,0.0,4524.0,1490.554474,4.835675,2644.0,5000.0,2644.0,2356.0,47.12,6580.0,1054.0,0.0,838.0,813.0,88326.0,0.0,0.0,0.0
bologna,peak,high,mp_super,1,1426.840852,0.0,3498.8,2062.077775,0.0,4576.4,1857.645729,3.744019,3613.0,5000.0,3613.0,1387.0,27.74,3705.0,0.0,0.0,327.0,299.0,29718.0,0.0,22435.0,48321.785337
bologna,peak,high,mp_switch_eps1,1,1288.355067,0.0,3725.55,1732.544337,0.0,4445.1,1531.617671,4.843399,2684.0,5000.0,2684.0,2316.0,46.32,5415.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_switch_rel005,1,1091.055661,0.0,3507.0,1528.688754,0.0,4226.0,1327.246119,5.068673,2641.0,5000.0,2641.0,2359.0,47.18,6885.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_switch_rel010,1,1217.696655,0.0,3819.0,1667.707805,0.0,4564.0,1467.911699,4.907361,2601.0,5000.0,2601.0,2399.0,47.98,6653.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
