Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0024_20260527_122000
Gruppi: 9
Ordinamento: wait (asc)

=== bologna / balanced / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
9    | mp_switch_rel005        | 639.17      | +20.94       | 948.57        | +9.26          | 770.54          | +77.78           | 2.73%        | 2552.75    | 3134.95      | 7.43           | 2918      | 1
10   | mp_spillback_on85_off70 | 659.85      | +24.85       | 971.74        | +11.93         | 792.99          | +100.23          | 2.03%        | 2596.10    | 3175.10      | 7.35           | 2939      | 1
11   | mp_platoon_x4           | 679.19      | +28.51       | 997.39        | +14.88         | 820.50          | +127.74          | 2.43%        | 2708.10    | 3331.70      | 7.22           | 2927      | 1
12   | mp_fair_mu5_w20         | 686.45      | +29.89       | 1003.39       | +15.57         | 825.15          | +132.39          | 1.30%        | 2569.00    | 3159.00      | 7.18           | 2961      | 1
13   | mp_switch_rel010        | 689.62      | +30.49       | 1006.20       | +15.90         | 828.91          | +136.16          | 2.30%        | 2848.00    | 3465.00      | 7.49           | 2931      | 1
14   | mp_platoon_x2           | 689.90      | +30.54       | 1004.14       | +15.66         | 826.94          | +134.18          | 2.37%        | 2636.60    | 3264.00      | 7.30           | 2929      | 1
15   | mp_switch_eps1          | 694.45      | +31.40       | 1007.02       | +15.99         | 829.22          | +136.47          | 2.57%        | 2844.60    | 3461.00      | 7.18           | 2923      | 1
16   | mp_fair_mu3_w30         | 698.28      | +32.12       | 1022.29       | +17.75         | 844.85          | +152.09          | 0.13%        | 2788.50    | 3380.25      | 7.01           | 2996      | 1
17   | mp_nmin_a080_f2         | 719.55      | +36.15       | 1042.77       | +20.11         | 863.81          | +171.06          | 3.17%        | 2846.00    | 3497.40      | 7.17           | 2905      | 1
18   | mp_nmin_a120_f4         | 738.87      | +39.80       | 1055.53       | +21.58         | 876.71          | +183.96          | 3.60%        | 3109.80    | 3750.50      | 7.31           | 2892      | 1
19   | mp_downstream_b04       | 941.51      | +78.15       | 1272.39       | +46.56         | 1100.90         | +408.15          | 17.20%       | 3590.40    | 4255.15      | 5.80           | 2484      | 1
20   | mp_downstream_b08       | 1105.41     | +109.16      | 1451.36       | +67.17         | 1275.52         | +582.77          | 16.87%       | 3809.15    | 4493.80      | 5.35           | 2494      | 1

=== bologna / peak / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_nmin_a120_f4         | 1026.65     | -24.26       | 1439.58       | -25.78         | 1239.01         | -493.02          | 51.28%       | 3639.25    | 4334.50      | 5.40           | 2436      | 1
2    | mp_switch_rel005        | 1091.06     | -19.51       | 1528.69       | -21.18         | 1327.25         | -404.79          | 47.18%       | 3507.00    | 4226.00      | 5.07           | 2641      | 1
3    | mp_nmin_a080_f2         | 1142.85     | -15.69       | 1612.85       | -16.84         | 1409.58         | -322.46          | 48.50%       | 3512.00    | 4339.10      | 4.78           | 2575      | 1
4    | mp_platoon_x2           | 1164.34     | -14.11       | 1600.79       | -17.46         | 1401.08         | -330.95          | 46.68%       | 3804.75    | 4582.00      | 5.08           | 2666      | 1
5    | mp_base                 | 1184.75     | -12.60       | 1626.46       | -16.14         | 1423.86         | -308.17          | 47.04%       | 3879.30    | 4599.20      | 4.94           | 2648      | 1
6    | mp_platoon_x4           | 1212.00     | -10.59       | 1654.93       | -14.67         | 1452.46         | -279.57          | 48.08%       | 3867.75    | 4620.50      | 5.00           | 2596      | 1
7    | mp_switch_rel010        | 1217.70     | -10.17       | 1667.71       | -14.01         | 1467.91         | -264.12          | 47.98%       | 3819.00    | 4564.00      | 4.91           | 2601      | 1
8    | mp_fair_mu5_w20         | 1239.25     | -8.58        | 1706.02       | -12.04         | 1507.36         | -224.68          | 46.00%       | 3803.05    | 4476.00      | 4.59           | 2700      | 1
9    | mp_spillback_on90_off80 | 1245.05     | -8.15        | 1689.43       | -12.89         | 1490.55         | -241.48          | 47.12%       | 3833.70    | 4524.00      | 4.84           | 2644      | 1
10   | mp_fair_mu3_w30         | 1251.64     | -7.67        | 1710.88       | -11.79         | 1510.42         | -221.61          | 46.34%       | 3678.60    | 4409.80      | 4.67           | 2683      | 1
11   | mp_spillback_on85_off70 | 1257.58     | -7.23        | 1712.07       | -11.73         | 1510.88         | -221.16          | 44.78%       | 3814.00    | 4558.00      | 4.72           | 2761      | 1
12   | mp_switch_eps1          | 1288.36     | -4.96        | 1732.54       | -10.67         | 1531.62         | -200.42          | 46.32%       | 3725.55    | 4445.10      | 4.84           | 2684      | 1
13   | mp_super                | 1334.64     | -1.54        | 1986.79       | +2.44          | 1784.14         | +52.10           | 21.62%       | 3412.30    | 4624.00      | 3.74           | 3919      | 1
14   | mp_lta_g040_sf050       | 1351.09     | -0.33        | 1805.60       | -6.90          | 1600.43         | -131.61          | 45.60%       | 4016.20    | 4723.05      | 4.76           | 2720      | 1
15   | fixed_program0          | 1355.56     | +0.00        | 1939.49       | +0.00          | 1732.03         | +0.00            | 28.42%       | 3633.20    | 4670.00      | 3.94           | 3579      | 1
16   | mp_lta_g060_sf050       | 1404.11     | +3.58        | 1843.71       | -4.94          | 1637.54         | -94.50           | 48.20%       | 3916.10    | 4604.35      | 4.72           | 2590      | 1
17   | mp_program0             | 1432.36     | +5.67        | 2081.83       | +7.34          | 1880.67         | +148.64          | 21.78%       | 3479.00    | 4801.00      | 3.66           | 3911      | 1
18   | fixed_tuned             | 1435.63     | +5.91        | 1960.38       | +1.08          | 1761.04         | +29.01           | 35.88%       | 3823.75    | 4747.25      | 3.54           | 3206      | 1
19   | mp_downstream_b08       | 1468.84     | +8.36        | 1914.02       | -1.31          | 1710.09         | -21.95           | 61.22%       | 4003.50    | 4710.30      | 3.91           | 1939      | 1
20   | mp_downstream_b04       | 1484.79     | +9.53        | 1908.73       | -1.59          | 1711.44         | -20.59           | 62.56%       | 4113.35    | 4815.70      | 4.11           | 1872      | 1

=== bologna / peak / low ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_super                | 408.26      | -41.59       | 815.46        | -27.03         | 611.54          | -301.63          | 0.00%        | 1242.10    | 1972.15      | 6.85           | 1500      | 1
2    | mp_program0             | 461.79      | -33.93       | 862.80        | -22.79         | 658.20          | -254.97          | 0.00%        | 1580.20    | 2280.20      | 6.75           | 1500      | 1
3    | fixed_program0          | 698.90      | +0.00        | 1117.52       | +0.00          | 913.17          | +0.00            | 0.40%        | 2847.05    | 3618.30      | 6.25           | 1494      | 1
4    | mp_platoon_x2           | 699.90      | +0.14        | 1085.75       | -2.84          | 879.72          | -33.46           | 1.53%        | 2062.60    | 2783.00      | 6.98           | 1477      | 1
