map,population_set,demand,scenario,delta_baseline_scenario,avg_mean_wait_s,avg_mean_travel_s,avg_mean_time_loss_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct,time_loss_delta_vs_base_s
bologna,skewed,low,fixed_program0,fixed_program0,424.255333,805.17,599.309135,0.0,0.0,0.0
bologna,skewed,low,fixed_tuned,fixed_program0,490.722444,880.562,674.766418,15.6668,9.3635,75.4573
bologna,skewed,low,mp_base,fixed_program0,701.782,1068.055333,859.772206,65.415,32.6497,260.4631
bologna,skewed,low,mp_fair_mu5_w20,fixed_program0,642.376445,1007.019333,799.586027,51.4127,25.0692,200.2769
bologna,skewed,low,mp_lta_g060_sf050,fixed_program0,653.960222,1018.274444,810.444638,54.1431,26.467,211.1355
bologna,skewed,low,mp_nmin_a120_f4,fixed_program0,780.442,1156.318445,947.6054,83.9557,43.6117,348.2963
bologna,skewed,low,mp_platoon_x2,fixed_program0,670.031333,1031.202889,822.77576,57.9312,28.0727,223.4666
bologna,skewed,low,mp_program0,fixed_program0,269.257333,624.833778,419.022918,-36.5341,-22.3973,-180.2862
bologna,skewed,low,mp_spillback_on90_off80,fixed_program0,679.147778,1044.195111,835.862527,60.08,29.6863,236.5534
bologna,skewed,low,mp_super,fixed_program0,248.320889,606.142,400.336222,-41.469,-24.7188,-198.9729
bologna,skewed,low,mp_super_no_safe,fixed_program0,248.320889,606.142,400.336222,-41.469,-24.7188,-198.9729
bologna,skewed,medium,fixed_program0,fixed_program0,1163.908556,1662.035444,1451.286813,0.0,0.0,0.0
bologna,skewed,medium,fixed_tuned,fixed_program0,1317.372667,1839.171333,1630.009557,13.1852,10.6578,178.7227
bologna,skewed,medium,mp_base,fixed_program0,1848.559667,2346.561889,2128.690972,58.8234,41.186,677.4042
bologna,skewed,medium,mp_fair_mu5_w20,fixed_program0,1696.623111,2193.297889,1977.144419,45.7695,31.9646,525.8576
bologna,skewed,medium,mp_lta_g060_sf050,fixed_program0,1868.718889,2361.304111,2143.877342,60.5555,42.073,692.5905
bologna,skewed,medium,mp_nmin_a120_f4,fixed_program0,1946.760889,2454.007333,2234.166981,67.2606,47.6507,782.8802
bologna,skewed,medium,mp_platoon_x2,fixed_program0,1875.062778,2383.312,2164.405026,61.1005,43.3972,713.1182
bologna,skewed,medium,mp_program0,fixed_program0,714.795111,1195.273334,986.505693,-38.5867,-28.0838,-464.7811
bologna,skewed,medium,mp_spillback_on90_off80,fixed_program0,2077.754667,2585.393,2365.217133,78.5153,55.5558,913.9303
bologna,skewed,medium,mp_super,fixed_program0,725.051444,1206.687778,996.880306,-37.7055,-27.397,-454.4065
bologna,skewed,medium,mp_super_no_safe,fixed_program0,696.372778,1184.661333,976.209042,-40.1695,-28.7223,-475.0778
